etid,"aspiring date",uid
383901,06/8/2012,5078156
398816,07/19/2012,5161186
427696,01/31/2013,5816851
434376,03/26/2013,5976471
180281,01/31/2014,3333861
471956,03/31/2014,6583611
496396,09/2/2015,7068786
465366,12/16/2013,6462421
438496,07/28/2014,6072316
235046,08/5/2014,3789806
290656,08/6/2012,4170586
314111,06/21/2012,4294266
312881,06/27/2012,2325251
183861,05/28/2012,3417291
372761,04/18/2012,4948231
374716,04/20/2012,4975901
484141,10/24/2014,6795721
493771,05/27/2015,7001981
494011,07/22/2015,7001181
494121,06/11/2015,7007696
494171,06/30/2015,7010171
494151,06/4/2015,7010306
494226,06/9/2015,7012706
494041,06/5/2015,7007716
494111,06/4/2015,7010281
494256,06/8/2015,7011686
494631,06/16/2015,7018221
494636,06/22/2015,7018901
494886,07/23/2015,7021001
495101,06/30/2015,7022841
495056,07/8/2015,7028006
494891,07/8/2015,7021741
495176,06/25/2015,7029896
495526,07/9/2015,7038401
495666,07/14/2015,7039186
495531,08/17/2015,7040236
495351,07/7/2015,7032336
495701,07/14/2015,7043611
495711,07/23/2015,7044871
495801,07/30/2015,7047431
456166,07/27/2015,6340486
493361,07/21/2015,6995751
495966,08/4/2015,7053421
495971,07/31/2015,7053551
496101,08/11/2015,7057261
496071,08/4/2015,7057446
496076,08/4/2015,7057511
496226,08/14/2015,7058601
496216,08/14/2015,7058846
494831,06/25/2015,7017851
494291,06/9/2015,7012841
494286,09/3/2015,7012776
494181,06/9/2015,7010661
494036,06/2/2015,7007786
436671,04/15/2013,6034456
431176,03/4/2013,5878136
373116,08/13/2012,4940906
351256,01/26/2012,4730196
496221,08/27/2015,7059121
496471,09/1/2015,7070466
496576,09/9/2015,7075516
496566,09/8/2015,7076456
496561,09/14/2015,7076131
496571,09/8/2015,7075986
496621,09/14/2015,7077371
270676,10/29/2012,4041876
415681,10/29/2012,4041876
